Capital,State,Capital,State,Miles,Seconds
Boston,MA,Augusta,ME 04330,162,9273
Annapolis,MD,Montgomery,AL,833,44633
Annapolis,MD,Little Rock,AR,1052,56191
Annapolis,MD,Phoenix,AZ,2299,122975
Annapolis,MD,Sacramento,CA,2752,145104
Annapolis,MD,Denver,CO,1684,89714
Annapolis,MD,Hartford,CT,326,18859
Annapolis,MD,Dover,DE,64.9,4684
Annapolis,MD,Tallahassee,FL,903,47062
Annapolis,MD,Atlanta,GA,672,36184
Annapolis,MD,Des Moines,IA,1040,56522
Annapolis,MD,Boise,ID,2401,126390
Annapolis,MD,Springfield,IL,806,44923
Annapolis,MD,Indianapolis,IN,597,33382
Annapolis,MD,Topeka,KS,1143,62159
Annapolis,MD,Frankfort,KY 40601,580,31609
Annapolis,MD,Baton Rouge,LA,1181,62832
Annapolis,MD,Augusta,ME 04330,578,32368
Augusta,ME 04330,Montgomery,AL,1389,75618
Augusta,ME 04330,Little Rock,AR,1607,86338
Augusta,ME 04330,Phoenix,AZ,2791,148739
Augusta,ME 04330,Sacramento,CA,3170,167314
Augusta,ME 04330,Denver,CO,2128,112752
Augusta,ME 04330,Hartford,CT,254,13844
Augusta,ME 04330,Dover,DE,534,29703
Augusta,ME 04330,Tallahassee,FL,1460,78047
Augusta,ME 04330,Atlanta,GA,1228,67169
Augusta,ME 04330,Des Moines,IA,1457,78731
Augusta,ME 04330,Boise,ID,2818,148600
Augusta,ME 04330,Springfield,IL,1299,70688
Augusta,ME 04330,Indianapolis,IN,1090,59147
Augusta,ME 04330,Topeka,KS,1636,87924
Augusta,ME 04330,Frankfort,KY 40601,1101,60375
Augusta,ME 04330,Baton Rouge,LA,1736,92979
Lansing,MI,Montgomery,AL,816,42867
Lansing,MI,Little Rock,AR,835,44291
Lansing,MI,Phoenix,AZ,1942,102918
Lansing,MI,Sacramento,CA,2247,117421
Lansing,MI,Denver,CO,1205,62860
Lansing,MI,Hartford,CT,722,39742
Lansing,MI,Dover,DE,673,37403
Lansing,MI,Tallahassee,FL,1027,56049
Lansing,MI,Atlanta,GA,775,40764
Lansing,MI,Des Moines,IA,535,28839
Lansing,MI,Boise,ID,1896,98708
Lansing,MI,Springfield,IL,392,21407
Lansing,MI,Indianapolis,IN,254,13862
Lansing,MI,Topeka,KS,761,40759
Lansing,MI,Frankfort,KY 40601,394,21655
Lansing,MI,Baton Rouge,LA,1099,57904
Lansing,MI,Boston,MA,780,43048
Lansing,MI,Annapolis,MD,612,33490
Lansing,MI,Augusta,ME 04330,933,50977
St Paul,MN,Montgomery,AL,1155,60124
St Paul,MN,Little Rock,AR,863,44751
St Paul,MN,Phoenix,AZ,1645,90048
St Paul,MN,Sacramento,CA,1900,99877
St Paul,MN,Denver,CO,918,47082
St Paul,MN,Hartford,CT,1291,69931
St Paul,MN,Dover,DE,1184,64864
St Paul,MN,Tallahassee,FL,1367,73306
St Paul,MN,Atlanta,GA,1122,58925
St Paul,MN,Des Moines,IA,248,13090
St Paul,MN,Boise,ID,1460,76226
St Paul,MN,Springfield,IL,520,27426
St Paul,MN,Indianapolis,IN,588,31419
St Paul,MN,Topeka,KS,502,26359
St Paul,MN,Frankfort,KY 40601,756,40433
St Paul,MN,Baton Rouge,LA,1216,64600
St Paul,MN,Boston,MA,1385,74896
St Paul,MN,Annapolis,MD,1123,60951
St Paul,MN,Augusta,ME 04330,1538,82825
St Paul,MN,Lansing,MI,626,33393
Jefferson City,MO,Montgomery,AL,719,37923
Jefferson City,MO,Little Rock,AR,345,20931
Jefferson City,MO,Phoenix,AZ,1380,73399
Jefferson City,MO,Sacramento,CA,1877,98517
Jefferson City,MO,Denver,CO,759,39450
Jefferson City,MO,Hartford,CT,1207,65446
Jefferson City,MO,Dover,DE,1033,57379
Jefferson City,MO,Tallahassee,FL,930,51105
Jefferson City,MO,Atlanta,GA,686,36724
Jefferson City,MO,Des Moines,IA,256,15993
Jefferson City,MO,Boise,ID,1525,79803
Jefferson City,MO,Springfield,IL,193,11936
Jefferson City,MO,Indianapolis,IN,370,20200
Jefferson City,MO,Topeka,KS,219,11895
Jefferson City,MO,Frankfort,KY 40601,444,24125
Jefferson City,MO,Baton Rouge,LA,719,40562
